place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
743,607393,"Montreat College Last Chance, Montreat College Pulliam Stadium, Montreat, NC",USA,07 MAY 2021,07 MAY 2021,15,588,65802,741,65817,https://worldathletics.org/records/competition-performance-rankings/ranking/607393
744,605374,"Rolf Watter Sportfest, Universitätsstadion Am Biopark, Regensburg",GER,10 JUL 2021,10 JUL 2021,0,,65809,739,65809,https://worldathletics.org/records/competition-performance-rankings/ranking/605374
745,606571,"Meeting Athletic Elite, Arena Civica Gianni Brera, Milano",ITA,25 SEP 2021,25 SEP 2021,5,704,65782,743,65787,https://worldathletics.org/records/competition-performance-rankings/ranking/606571
746,604100,"Athletics Division Invitational Tournament - Central China, Ji'an",CHN,11 MAY 2021,12 MAY 2021,15,588,65770,746,65785,https://worldathletics.org/records/competition-performance-rankings/ranking/604100
747,604610,"East Coast Relays and Last Chance Invitational, Thomas Edison Park, Edison, NJ",USA,22 MAY 2021,22 MAY 2021,0,,65775,745,65775,https://worldathletics.org/records/competition-performance-rankings/ranking/604610
748,605652,"Friends University Spring Open, Adair Austin Stadium (Friends Univ), Wichita, KS",USA,09 APR 2021,10 APR 2021,0,,65769,747,65769,https://worldathletics.org/records/competition-performance-rankings/ranking/605652
749,603799,"KCAC Outdoor Championships, Ottawa University, Ottawa, KS",USA,06 MAY 2021,07 MAY 2021,0,,65749,748,65749,https://worldathletics.org/records/competition-performance-rankings/ranking/603799
750,605980,"Sommerstevnet, Bislett Stadion, Oslo",NOR,14 JUL 2021,14 JUL 2021,30,480,65703,749,65733,https://worldathletics.org/records/competition-performance-rankings/ranking/605980
751,607310,"Cal Poly Blue-Green Rivalry Meet, Miller& Capriotti Athletics Complex, San Luis Obispo, CA",USA,01 MAY 2021,01 MAY 2021,5,704,65685,751,65690,https://worldathletics.org/records/competition-performance-rankings/ranking/607310
752,602612,"Blizzard Buster, Miami of Ohio Track, Oxford, OH",USA,20 MAR 2021,20 MAR 2021,0,,65688,750,65688,https://worldathletics.org/records/competition-performance-rankings/ranking/602612
752,604144,"Puma Nitro Meeting, Otto-Schott-Stadion, Mainz",GER,22 MAY 2021,22 MAY 2021,10,637,65678,753,65688,https://worldathletics.org/records/competition-performance-rankings/ranking/604144
